head,relation,tail,scenario,source,evidence,confidence,weight,review_status,feedback_count,accepted_count,rejected_count
LocDefect,HAS_PLAUSIBLE_CAUSE,ProcessNonuniformity,wafer,wm811k_low_confidence_investigation_rule,"WM811K loc pattern maps to Process nonuniformity as a low-confidence candidate investigation path, not verified process RCA.",0.55,0.45,auto,0,0,0
LocDefect,HAS_SPATIAL_SIGNATURE,LocalClusterSignature,wafer,wm811k_pattern_semantics,WM811K loc pattern maps to the Local cluster signature descriptor; this is observed spatial evidence.,0.84,0.16,auto,0,0,0
LocDefect,OCCURS_ON,WaferLocalLocation,wafer,wm811k_pattern_semantics,WM811K loc pattern is represented at Wafer local region.,0.8,0.2,auto,0,0,0
LocalClusterSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ProcessNonuniformity,wafer,wm811k_low_confidence_investigation_rule,WM811K Local cluster signature maps to Process nonuniformity as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,0.54,0.46,auto,0,0,0
NearFullDenseSignature,SUGGESTS_PLAUSIBLE_MECHANISM,MegasonicRinseInsufficient,wafer,wafer_factory_sop_private_summary,Private SOP summary supports Megasonic rinse insufficient as a low-confidence investigation target for the nearfull pattern and Near-full dense signature; candidate/plausible explanation only; not a verified root-cause label.,0.48,0.52,auto,0,0,0
NearFullDenseSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ParticleContamination,wafer,wm811k_low_confidence_investigation_rule,WM811K Near-full dense signature maps to Particle contamination as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,0.54,0.46,auto,0,0,0
NearFullDenseSignature,SUGGESTS_PLAUSIBLE_MECHANISM,RecipeStepSkip,wafer,wafer_factory_sop_private_summary,Private SOP summary supports Recipe step skip as a low-confidence investigation target for the nearfull pattern and Near-full dense signature; candidate/plausible explanation only; not a verified root-cause label.,0.48,0.52,auto,0,0,0
NearFullDenseSignature,SUGGESTS_PLAUSIBLE_MECHANISM,RinseFlowInsufficient,wafer,wafer_factory_sop_private_summary,Private SOP summary supports Rinse flow insufficient as a low-confidence investigation target for the nearfull pattern and Near-full dense signature; candidate/plausible explanation only; not a verified root-cause label.,0.48,0.52,auto,0,0,0
NearFullDenseSignature,SUGGESTS_PLAUSIBLE_MECHANISM,WaterQualityExcursion,wafer,wafer_factory_sop_private_summary,Private SOP summary supports Water quality excursion as a low-confidence investigation target for the nearfull pattern and Near-full dense signature; candidate/plausible explanation only; not a verified root-cause label.,0.48,0.52,auto,0,0,0
NearFullDenseSignature,SUGGESTS_PLAUSIBLE_MECHANISM,WetCleanResidue,wafer,wafer_factory_sop_private_summary,Private SOP summary supports Wet clean residue as a low-confidence investigation target for the nearfull pattern and Near-full dense signature; candidate/plausible explanation only; not a verified root-cause label.,0.48,0.52,auto,0,0,0
NearfullDefect,HAS_PLAUSIBLE_CAUSE,MegasonicRinseInsufficient,wafer,wafer_factory_sop_private_summary,Private SOP summary snippet: 未开启兆声水会导致nearfull缺陷. WM811K nearfull may use Megasonic rinse insufficient as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,0.48,0.52,auto,0,0,0
NearfullDefect,HAS_PLAUSIBLE_CAUSE,ParticleContamination,wafer,wm811k_low_confidence_investigation_rule,"WM811K nearfull pattern maps to Particle contamination as a low-confidence candidate investigation path, not verified process RCA.",0.55,0.45,auto,0,0,0
NearfullDefect,HAS_PLAUSIBLE_CAUSE,RecipeStepSkip,wafer,wafer_factory_sop_private_summary,Private SOP summary snippet: 跳步操作会导致near full缺陷. WM811K nearfull may use Recipe step skip as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,0.44,0.56,auto,0,0,0
NearfullDefect,HAS_PLAUSIBLE_CAUSE,RinseFlowInsufficient,wafer,wafer_factory_sop_private_summary,Private SOP summary snippet: 未开启纯水会导致nearfull缺陷. WM811K nearfull may use Rinse flow insufficient as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,0.49,0.51,auto,0,0,0
NearfullDefect,HAS_PLAUSIBLE_CAUSE,WaterQualityExcursion,wafer,wafer_factory_sop_private_summary,Private SOP summary snippet: 水阻率异常导致晶圆near full缺陷. WM811K nearfull may use Water quality excursion as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,0.46,0.54,auto,0,0,0
NearfullDefect,HAS_PLAUSIBLE_CAUSE,WetCleanResidue,wafer,wafer_factory_sop_private_summary,Private SOP summary snippet: 晶圆表面残留物过多，形成near full缺陷. WM811K nearfull may use Wet clean residue as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,0.52,0.48,auto,0,0,0
NearfullDefect,HAS_SPATIAL_SIGNATURE,NearFullDenseSignature,wafer,wm811k_pattern_semantics,WM811K nearfull pattern maps to the Near-full dense signature descriptor; this is observed spatial evidence.,0.84,0.16,auto,0,0,0
RandomDefect,HAS_MORPHOLOGY,WaferScatteredMorphology,wafer,wm811k_pattern_semantics,WM811K random pattern is represented with Wafer scattered morphology.,0.82,0.18,auto,0,0,0
RandomDefect,HAS_PLAUSIBLE_CAUSE,ChamberContamination,wafer,wafer_factory_sop_private_summary,Private SOP summary snippet: 腔门未正常关闭会导致腔内污染. WM811K random may use Chamber contamination as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,0.44,0.56,auto,0,0,0
RandomDefect,HAS_PLAUSIBLE_CAUSE,ParticleContamination,wafer,wm811k_low_confidence_investigation_rule,"WM811K random pattern maps to Particle contamination as a low-confidence candidate investigation path, not verified process RCA.",0.55,0.45,auto,0,0,0
RandomDefect,HAS_PLAUSIBLE_CAUSE,ProcessNonuniformity,wafer,wm811k_low_confidence_investigation_rule,"WM811K random pattern maps to Process nonuniformity as a low-confidence candidate investigation path, not verified process RCA.",0.55,0.45,auto,0,0,0
RandomDefect,HAS_SPATIAL_SIGNATURE,RandomScatteredSignature,wafer,wm811k_pattern_semantics,WM811K random pattern maps to the Random scattered signature descriptor; this is observed spatial evidence.,0.84,0.16,auto,0,0,0
RandomDefect,OCCURS_ON,WaferSurface,wafer,wm811k_pattern_semantics,WM811K random pattern is represented at Wafer surface.,0.8,0.2,auto,0,0,0
RandomScatteredSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ChamberContamination,wafer,wafer_factory_sop_private_summary,Private SOP summary supports Chamber contamination as a low-confidence investigation target for the random pattern and Random scattered signature; candidate/plausible explanation only; not a verified root-cause label.,0.48,0.52,auto,0,0,0
RandomScatteredSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ParticleContamination,wafer,wm811k_low_confidence_investigation_rule,WM811K Random scattered signature maps to Particle contamination as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,0.54,0.46,auto,0,0,0
RandomScatteredSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ProcessNonuniformity,wafer,wm811k_low_confidence_investigation_rule,WM811K Random scattered signature maps to Process nonuniformity as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,0.54,0.46,auto,0,0,0
WaferObject,HAS_ANOMALY,CenterDefect,wafer,wm811k_public_pattern_classes,WM811K public classifier/dataset pattern vocabulary includes center.,0.86,0.14,auto,0,0,0
WaferObject,HAS_ANOMALY,DonutDefect,wafer,wm811k_public_pattern_classes,WM811K public classifier/dataset pattern vocabulary includes donut.,0.86,0.14,auto,0,0,0
WaferObject,HAS_ANOMALY,EdgeLocDefect,wafer,wm811k_public_pattern_classes,WM811K public classifier/dataset pattern vocabulary includes edge_loc.,0.86,0.14,auto,0,0,0
WaferObject,HAS_ANOMALY,EdgeRingDefect,wafer,wm811k_public_pattern_classes,WM811K public classifier/dataset pattern vocabulary includes edge_ring.,0.86,0.14,auto,0,0,0
WaferObject,HAS_ANOMALY,LocDefect,wafer,wm811k_public_pattern_classes,WM811K public classifier/dataset pattern vocabulary includes loc.,0.86,0.14,auto,0,0,0
WaferObject,HAS_ANOMALY,RandomDefect,wafer,wm811k_public_pattern_classes,WM811K public classifier/dataset pattern vocabulary includes random.,0.86,0.14,auto,0,0,0
WaferObject,HAS_ANOMALY,WaferScratchDefect,wafer,wm811k_public_pattern_classes,WM811K public classifier/dataset pattern vocabulary includes scratch.,0.86,0.14,auto,0,0,0
WaferScratchDefect,HAS_MORPHOLOGY,WaferLinearMorphology,wafer,wm811k_pattern_semantics,WM811K scratch pattern is represented with Wafer linear morphology.,0.82,0.18,auto,0,0,0
WaferScratchDefect,HAS_PLAUSIBLE_CAUSE,HandlingScratch,wafer,wm811k_low_confidence_investigation_rule,"WM811K scratch pattern maps to Handling scratch as a low-confidence candidate investigation path, not verified process RCA.",0.55,0.45,auto,0,0,0
WaferScratchDefect,HAS_PLAUSIBLE_CAUSE,WaferTransferMisalignment,wafer,wafer_factory_sop_private_summary,Private SOP summary snippet: 定位不精确...晶圆表面出现划痕缺陷. WM811K scratch may use Wafer transfer misalignment as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,0.5,0.5,auto,0,0,0
WaferScratchDefect,HAS_SPATIAL_SIGNATURE,LinearScratchSignature,wafer,wm811k_pattern_semantics,WM811K scratch pattern maps to the Linear scratch signature descriptor; this is observed spatial evidence.,0.84,0.16,auto,0,0,0
WaferScratchDefect,OCCURS_ON,WaferSurface,wafer,wm811k_pattern_semantics,WM811K scratch pattern is represented at Wafer surface.,0.8,0.2,auto,0,0,0
