head,relation,tail,scenario,source,evidence,confidence,weight,review_status,feedback_count,accepted_count,rejected_count
BentWireDefect,HAS_MORPHOLOGY,LinearMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'BentWire' cases are represented with 'linear' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
BentWireDefect,HAS_PLAUSIBLE_CAUSE,CableInsulationDamage,mvtec,mvtec_object_specific_visual_rule,"MVTec AD provides object-level defect test images and pixel anomaly masks; for the Cable object, source label 'BentWire' is mapped to Cable insulation damage as an object-specific candidate investigation target. This is a low-confidence KG constraint for explanation coverage, not a confirmed root-cause label.",0.68,0.32,auto,0,0,0
BentWireDefect,OCCURS_ON,SurfaceLocation,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'BentWire' cases are represented at 'surface' location in the adapter pipeline table.,0.74,0.26,auto,0,0,0
BottleObject,HAS_ANOMALY,BrokenLargeDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; BottleObject is observed with BrokenLargeDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
BottleObject,HAS_ANOMALY,BrokenSmallDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; BottleObject is observed with BrokenSmallDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
BottleObject,HAS_ANOMALY,ContaminationDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; BottleObject is observed with ContaminationDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
BottleObject,SUGGESTS_PLAUSIBLE_MECHANISM,BottleBreakage,mvtec,mvtec_object_specific_visual_rule,"MVTec AD provides object-level defect test images and pixel anomaly masks; for the Bottle object, source label 'broken large, broken small' is mapped to Bottle breakage as an object-specific candidate investigation target. This is a low-confidence KG constraint for explanation coverage, not a confirmed root-cause label.",0.68,0.32,auto,0,0,0
BrokenDefect,HAS_MORPHOLOGY,LinearMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'Broken' cases are represented with 'linear' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
BrokenDefect,HAS_PLAUSIBLE_CAUSE,ComponentDamage,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'Broken' is mapped to Component damage as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.66,0.34,auto,0,0,0
BrokenDefect,HAS_PLAUSIBLE_CAUSE,HandlingDamage,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'Broken' is mapped to Handling damage as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.66,0.34,auto,0,0,0
BrokenDefect,OCCURS_ON,SurfaceLocation,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'Broken' cases are represented at 'surface' location in the adapter pipeline table.,0.74,0.26,auto,0,0,0
BrokenLargeDefect,HAS_MORPHOLOGY,LinearMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'BrokenLarge' cases are represented with 'linear' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
BrokenLargeDefect,HAS_PLAUSIBLE_CAUSE,BottleBreakage,mvtec,mvtec_object_specific_visual_rule,"MVTec AD provides object-level defect test images and pixel anomaly masks; for the Bottle object, source label 'BrokenLarge' is mapped to Bottle breakage as an object-specific candidate investigation target. This is a low-confidence KG constraint for explanation coverage, not a confirmed root-cause label.",0.68,0.32,auto,0,0,0
BrokenLargeDefect,HAS_PLAUSIBLE_CAUSE,ComponentDamage,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'BrokenLarge' is mapped to Component damage as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.66,0.34,auto,0,0,0
BrokenLargeDefect,HAS_PLAUSIBLE_CAUSE,HandlingDamage,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'BrokenLarge' is mapped to Handling damage as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.66,0.34,auto,0,0,0
BrokenLargeDefect,OCCURS_ON,SurfaceLocation,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'BrokenLarge' cases are represented at 'surface' location in the adapter pipeline table.,0.74,0.26,auto,0,0,0
BrokenSmallDefect,HAS_MORPHOLOGY,SpotMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'BrokenSmall' cases are represented with 'spot' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
BrokenSmallDefect,HAS_PLAUSIBLE_CAUSE,BottleBreakage,mvtec,mvtec_object_specific_visual_rule,"MVTec AD provides object-level defect test images and pixel anomaly masks; for the Bottle object, source label 'BrokenSmall' is mapped to Bottle breakage as an object-specific candidate investigation target. This is a low-confidence KG constraint for explanation coverage, not a confirmed root-cause label.",0.68,0.32,auto,0,0,0
BrokenSmallDefect,HAS_PLAUSIBLE_CAUSE,ComponentDamage,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'BrokenSmall' is mapped to Component damage as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.66,0.34,auto,0,0,0
BrokenSmallDefect,HAS_PLAUSIBLE_CAUSE,HandlingDamage,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'BrokenSmall' is mapped to Handling damage as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.66,0.34,auto,0,0,0
BrokenSmallDefect,OCCURS_ON,SurfaceLocation,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'BrokenSmall' cases are represented at 'surface' location in the adapter pipeline table.,0.74,0.26,auto,0,0,0
BrokenTeethDefect,HAS_MORPHOLOGY,LinearMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'BrokenTeeth' cases are represented with 'linear' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
BrokenTeethDefect,HAS_PLAUSIBLE_CAUSE,ComponentDamage,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'BrokenTeeth' is mapped to Component damage as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.66,0.34,auto,0,0,0
BrokenTeethDefect,HAS_PLAUSIBLE_CAUSE,HandlingDamage,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'BrokenTeeth' is mapped to Handling damage as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.66,0.34,auto,0,0,0
BrokenTeethDefect,HAS_PLAUSIBLE_CAUSE,ZipperTeethAssembly,mvtec,mvtec_object_specific_visual_rule,"MVTec AD provides object-level defect test images and pixel anomaly masks; for the Zipper object, source label 'BrokenTeeth' is mapped to Zipper teeth assembly as an object-specific candidate investigation target. This is a low-confidence KG constraint for explanation coverage, not a confirmed root-cause label.",0.68,0.32,auto,0,0,0
BrokenTeethDefect,OCCURS_ON,SurfaceLocation,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'BrokenTeeth' cases are represented at 'surface' location in the adapter pipeline table.,0.74,0.26,auto,0,0,0
CableObject,HAS_ANOMALY,BentWireDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; CableObject is observed with BentWireDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
CableObject,HAS_ANOMALY,CableSwapDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; CableObject is observed with CableSwapDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
CableObject,HAS_ANOMALY,CombinedDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; CableObject is observed with CombinedDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
CableObject,HAS_ANOMALY,CutInnerInsulationDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; CableObject is observed with CutInnerInsulationDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
CableObject,HAS_ANOMALY,CutOuterInsulationDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; CableObject is observed with CutOuterInsulationDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
CableObject,HAS_ANOMALY,MissingCableDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; CableObject is observed with MissingCableDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
CableObject,HAS_ANOMALY,MissingWireDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; CableObject is observed with MissingWireDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
CableObject,HAS_ANOMALY,PokeInsulationDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; CableObject is observed with PokeInsulationDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
CableObject,SUGGESTS_PLAUSIBLE_MECHANISM,CableAssemblyOmission,mvtec,mvtec_object_specific_visual_rule,"MVTec AD provides object-level defect test images and pixel anomaly masks; for the Cable object, source label 'missing cable, missing wire' is mapped to Cable assembly omission as an object-specific candidate investigation target. This is a low-confidence KG constraint for explanation coverage, not a confirmed root-cause label.",0.68,0.32,auto,0,0,0
CableObject,SUGGESTS_PLAUSIBLE_MECHANISM,CableInsulationDamage,mvtec,mvtec_object_specific_visual_rule,"MVTec AD provides object-level defect test images and pixel anomaly masks; for the Cable object, source label 'bent wire, cut inner insulation, cut outer insulation, poke insulation' is mapped to Cable insulation damage as an object-specific candidate investigation target. This is a low-confidence KG constraint for explanation coverage, not a confirmed root-cause label.",0.68,0.32,auto,0,0,0
CableSwapDefect,HAS_MORPHOLOGY,SpotMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'CableSwap' cases are represented with 'spot' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
CableSwapDefect,HAS_PLAUSIBLE_CAUSE,GenericVisualDefectMechanism,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'CableSwap' is mapped to Generic visual defect mechanism as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.58,0.42,auto,0,0,0
CableSwapDefect,HAS_PLAUSIBLE_CAUSE,VisualInspectionReviewNeeded,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'CableSwap' is mapped to Visual inspection review needed as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.58,0.42,auto,0,0,0
CableSwapDefect,OCCURS_ON,SurfaceLocation,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'CableSwap' cases are represented at 'surface' location in the adapter pipeline table.,0.74,0.26,auto,0,0,0
CapsuleObject,HAS_ANOMALY,CrackDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; CapsuleObject is observed with CrackDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
CapsuleObject,HAS_ANOMALY,FaultyImprintDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; CapsuleObject is observed with FaultyImprintDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
CapsuleObject,HAS_ANOMALY,PokeDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; CapsuleObject is observed with PokeDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
CapsuleObject,HAS_ANOMALY,ScratchDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; CapsuleObject is observed with ScratchDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
CapsuleObject,HAS_ANOMALY,SqueezeDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; CapsuleObject is observed with SqueezeDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
CapsuleObject,SUGGESTS_PLAUSIBLE_MECHANISM,CapsuleShellDamage,mvtec,mvtec_object_specific_visual_rule,"MVTec AD provides object-level defect test images and pixel anomaly masks; for the Capsule object, source label 'crack, poke, scratch, squeeze' is mapped to Capsule shell damage as an object-specific candidate investigation target. This is a low-confidence KG constraint for explanation coverage, not a confirmed root-cause label.",0.68,0.32,auto,0,0,0
CarpetObject,HAS_ANOMALY,ColorDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; CarpetObject is observed with ColorDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
CarpetObject,HAS_ANOMALY,CutDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; CarpetObject is observed with CutDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
CarpetObject,HAS_ANOMALY,HoleDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; CarpetObject is observed with HoleDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
CarpetObject,HAS_ANOMALY,MetalContaminationDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; CarpetObject is observed with MetalContaminationDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
CarpetObject,HAS_ANOMALY,ThreadDefect,mvtec,mvtec_calibrated_source_label,Local calibrated MVTec producer records preserve the source object folder and defect label; CarpetObject is observed with ThreadDefect evidence in the sampled paper pipeline records.,0.82,0.18,auto,0,0,0
CarpetObject,SUGGESTS_PLAUSIBLE_MECHANISM,TextureSurfaceContamination,mvtec,mvtec_object_specific_visual_rule,"MVTec AD provides object-level defect test images and pixel anomaly masks; for the Carpet object, source label 'color, metal contamination, thread' is mapped to Texture surface contamination as an object-specific candidate investigation target. This is a low-confidence KG constraint for explanation coverage, not a confirmed root-cause label.",0.68,0.32,auto,0,0,0
ColorDefect,HAS_MORPHOLOGY,SpotMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'Color' cases are represented with 'spot' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
ColorDefect,HAS_PLAUSIBLE_CAUSE,GenericVisualDefectMechanism,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'Color' is mapped to Generic visual defect mechanism as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.58,0.42,auto,0,0,0
ColorDefect,HAS_PLAUSIBLE_CAUSE,TextureIrregularity,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'Color' is mapped to Texture irregularity as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.66,0.34,auto,0,0,0
ColorDefect,OCCURS_ON,SurfaceLocation,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'Color' cases are represented at 'surface' location in the adapter pipeline table.,0.74,0.26,auto,0,0,0
CombinedDefect,HAS_MORPHOLOGY,LinearMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'Combined' cases are represented with 'linear' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
CombinedDefect,HAS_MORPHOLOGY,ScatteredMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'Combined' cases are represented with 'scattered' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
CombinedDefect,HAS_PLAUSIBLE_CAUSE,GenericVisualDefectMechanism,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'Combined' is mapped to Generic visual defect mechanism as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.58,0.42,auto,0,0,0
CombinedDefect,HAS_PLAUSIBLE_CAUSE,VisualInspectionReviewNeeded,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'Combined' is mapped to Visual inspection review needed as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.58,0.42,auto,0,0,0
CombinedDefect,OCCURS_ON,SurfaceLocation,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'Combined' cases are represented at 'surface' location in the adapter pipeline table.,0.74,0.26,auto,0,0,0
ContaminationDefect,HAS_MORPHOLOGY,LinearMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'Contamination' cases are represented with 'linear' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
ContaminationDefect,OCCURS_ON,SurfaceLocation,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'Contamination' cases are represented at 'surface' location in the adapter pipeline table.,0.74,0.26,auto,0,0,0
CrackDefect,HAS_MORPHOLOGY,LinearMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'Crack' cases are represented with 'linear' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
CrackDefect,HAS_MORPHOLOGY,SpotMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'Crack' cases are represented with 'spot' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
CrackDefect,OCCURS_ON,SurfaceLocation,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'Crack' cases are represented at 'surface' location in the adapter pipeline table.,0.74,0.26,auto,0,0,0
CutDefect,HAS_MORPHOLOGY,LinearMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'Cut' cases are represented with 'linear' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
CutDefect,HAS_MORPHOLOGY,SpotMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'Cut' cases are represented with 'spot' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
CutDefect,HAS_PLAUSIBLE_CAUSE,HandlingDamage,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'Cut' is mapped to Handling damage as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.66,0.34,auto,0,0,0
CutDefect,OCCURS_ON,EdgeLocation,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'Cut' cases are represented at 'edge' location in the adapter pipeline table.,0.74,0.26,auto,0,0,0
CutDefect,OCCURS_ON,SurfaceLocation,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'Cut' cases are represented at 'surface' location in the adapter pipeline table.,0.74,0.26,auto,0,0,0
CutInnerInsulationDefect,HAS_MORPHOLOGY,LinearMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'CutInnerInsulation' cases are represented with 'linear' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
CutInnerInsulationDefect,HAS_PLAUSIBLE_CAUSE,CableInsulationDamage,mvtec,mvtec_object_specific_visual_rule,"MVTec AD provides object-level defect test images and pixel anomaly masks; for the Cable object, source label 'CutInnerInsulation' is mapped to Cable insulation damage as an object-specific candidate investigation target. This is a low-confidence KG constraint for explanation coverage, not a confirmed root-cause label.",0.68,0.32,auto,0,0,0
CutInnerInsulationDefect,HAS_PLAUSIBLE_CAUSE,HandlingDamage,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'CutInnerInsulation' is mapped to Handling damage as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.66,0.34,auto,0,0,0
CutInnerInsulationDefect,HAS_PLAUSIBLE_CAUSE,MechanicalContact,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'CutInnerInsulation' is mapped to Mechanical contact as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.66,0.34,auto,0,0,0
CutInnerInsulationDefect,OCCURS_ON,SurfaceLocation,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'CutInnerInsulation' cases are represented at 'surface' location in the adapter pipeline table.,0.74,0.26,auto,0,0,0
CutLeadDefect,HAS_MORPHOLOGY,LinearMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'CutLead' cases are represented with 'linear' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
CutLeadDefect,HAS_PLAUSIBLE_CAUSE,HandlingDamage,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'CutLead' is mapped to Handling damage as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.66,0.34,auto,0,0,0
CutLeadDefect,HAS_PLAUSIBLE_CAUSE,MechanicalContact,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'CutLead' is mapped to Mechanical contact as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.66,0.34,auto,0,0,0
CutLeadDefect,HAS_PLAUSIBLE_CAUSE,TransistorLeadAssembly,mvtec,mvtec_object_specific_visual_rule,"MVTec AD provides object-level defect test images and pixel anomaly masks; for the Transistor object, source label 'CutLead' is mapped to Transistor lead assembly as an object-specific candidate investigation target. This is a low-confidence KG constraint for explanation coverage, not a confirmed root-cause label.",0.68,0.32,auto,0,0,0
CutLeadDefect,OCCURS_ON,SurfaceLocation,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'CutLead' cases are represented at 'surface' location in the adapter pipeline table.,0.74,0.26,auto,0,0,0
CutOuterInsulationDefect,HAS_MORPHOLOGY,LinearMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'CutOuterInsulation' cases are represented with 'linear' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
CutOuterInsulationDefect,HAS_PLAUSIBLE_CAUSE,CableInsulationDamage,mvtec,mvtec_object_specific_visual_rule,"MVTec AD provides object-level defect test images and pixel anomaly masks; for the Cable object, source label 'CutOuterInsulation' is mapped to Cable insulation damage as an object-specific candidate investigation target. This is a low-confidence KG constraint for explanation coverage, not a confirmed root-cause label.",0.68,0.32,auto,0,0,0
CutOuterInsulationDefect,HAS_PLAUSIBLE_CAUSE,HandlingDamage,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'CutOuterInsulation' is mapped to Handling damage as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.66,0.34,auto,0,0,0
