head,relation,tail,scenario,source,evidence,confidence,weight,review_status,feedback_count,accepted_count,rejected_count
Fault03Stream2Temperature,AFFECTS_VARIABLE,Xmeas26Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(3) to process proxies aligned with XMEAS_26; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault03Stream2Temperature,AFFECTS_VARIABLE,Xmeas2Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(3) to process proxies aligned with XMEAS_2; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault03Stream2Temperature,AFFECTS_VARIABLE,Xmv1Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(3) to process proxies aligned with XMV_1; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault04ReactorCoolingInletTemperature,AFFECTS_VARIABLE,Xmeas21Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(4) to process proxies aligned with XMEAS_21; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault04ReactorCoolingInletTemperature,AFFECTS_VARIABLE,Xmeas7Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(4) to process proxies aligned with XMEAS_7; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault04ReactorCoolingInletTemperature,AFFECTS_VARIABLE,Xmeas8Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(4) to process proxies aligned with XMEAS_8; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault04ReactorCoolingInletTemperature,AFFECTS_VARIABLE,Xmeas9Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(4) to process proxies aligned with XMEAS_9; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault04ReactorCoolingInletTemperature,AFFECTS_VARIABLE,Xmv10Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(4) to process proxies aligned with XMV_10; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault05SeparatorCoolingInletTemperature,AFFECTS_VARIABLE,Xmeas11Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(5) to process proxies aligned with XMEAS_11; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault05SeparatorCoolingInletTemperature,AFFECTS_VARIABLE,Xmeas12Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(5) to process proxies aligned with XMEAS_12; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault05SeparatorCoolingInletTemperature,AFFECTS_VARIABLE,Xmeas13Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(5) to process proxies aligned with XMEAS_13; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault05SeparatorCoolingInletTemperature,AFFECTS_VARIABLE,Xmeas22Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(5) to process proxies aligned with XMEAS_22; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault05SeparatorCoolingInletTemperature,AFFECTS_VARIABLE,Xmv11Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(5) to process proxies aligned with XMV_11; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault06Stream1AFeedLoss,AFFECTS_VARIABLE,XMEAS1,tep,tep_kg_fault_labels_v3,TEP_KG fault_root_cause_labels_v3 maps IDV(6) to stream 1 A-feed loss; this compatibility edge supports the legacy XMEAS1 node alias used by the default seed layer.,0.72,0.28,auto,0,0,0
Fault06Stream1AFeedLoss,AFFECTS_VARIABLE,Xmeas1Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(6) to process proxies aligned with XMEAS_1; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault06Stream1AFeedLoss,AFFECTS_VARIABLE,Xmeas23Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(6) to process proxies aligned with XMEAS_23; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault06Stream1AFeedLoss,AFFECTS_VARIABLE,Xmeas29Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(6) to process proxies aligned with XMEAS_29; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault06Stream1AFeedLoss,AFFECTS_VARIABLE,Xmv3Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(6) to process proxies aligned with XMV_3; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault07Stream4CHeaderPressure,AFFECTS_VARIABLE,Xmeas25Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(7) to process proxies aligned with XMEAS_25; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault07Stream4CHeaderPressure,AFFECTS_VARIABLE,Xmeas31Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(7) to process proxies aligned with XMEAS_31; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault07Stream4CHeaderPressure,AFFECTS_VARIABLE,Xmeas4Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(7) to process proxies aligned with XMEAS_4; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault07Stream4CHeaderPressure,AFFECTS_VARIABLE,Xmv4Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(7) to process proxies aligned with XMV_4; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault08Stream4ABCComposition,AFFECTS_VARIABLE,Xmeas23Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(8) to process proxies aligned with XMEAS_23; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault08Stream4ABCComposition,AFFECTS_VARIABLE,Xmeas24Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(8) to process proxies aligned with XMEAS_24; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault08Stream4ABCComposition,AFFECTS_VARIABLE,Xmeas25Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(8) to process proxies aligned with XMEAS_25; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault08Stream4ABCComposition,AFFECTS_VARIABLE,Xmeas29Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(8) to process proxies aligned with XMEAS_29; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault08Stream4ABCComposition,AFFECTS_VARIABLE,Xmeas30Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(8) to process proxies aligned with XMEAS_30; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault08Stream4ABCComposition,AFFECTS_VARIABLE,Xmeas31Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(8) to process proxies aligned with XMEAS_31; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault08Stream4ABCComposition,AFFECTS_VARIABLE,Xmeas4Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(8) to process proxies aligned with XMEAS_4; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault08Stream4ABCComposition,AFFECTS_VARIABLE,Xmv4Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(8) to process proxies aligned with XMV_4; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault09Stream2Temperature,AFFECTS_VARIABLE,Xmeas26Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(9) to process proxies aligned with XMEAS_26; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault09Stream2Temperature,AFFECTS_VARIABLE,Xmeas2Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(9) to process proxies aligned with XMEAS_2; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault09Stream2Temperature,AFFECTS_VARIABLE,Xmv1Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(9) to process proxies aligned with XMV_1; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault10Stream4FeedTemperature,AFFECTS_VARIABLE,Xmeas25Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(10) to process proxies aligned with XMEAS_25; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault10Stream4FeedTemperature,AFFECTS_VARIABLE,Xmeas31Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(10) to process proxies aligned with XMEAS_31; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault10Stream4FeedTemperature,AFFECTS_VARIABLE,Xmeas4Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(10) to process proxies aligned with XMEAS_4; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault10Stream4FeedTemperature,AFFECTS_VARIABLE,Xmv4Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(10) to process proxies aligned with XMV_4; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault11ReactorCoolingInletTemperature,AFFECTS_VARIABLE,Xmeas21Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(11) to process proxies aligned with XMEAS_21; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault11ReactorCoolingInletTemperature,AFFECTS_VARIABLE,Xmeas7Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(11) to process proxies aligned with XMEAS_7; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault11ReactorCoolingInletTemperature,AFFECTS_VARIABLE,Xmeas8Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(11) to process proxies aligned with XMEAS_8; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault11ReactorCoolingInletTemperature,AFFECTS_VARIABLE,Xmeas9Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(11) to process proxies aligned with XMEAS_9; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault11ReactorCoolingInletTemperature,AFFECTS_VARIABLE,Xmv10Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(11) to process proxies aligned with XMV_10; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault12SeparatorCoolingInletTemperature,AFFECTS_VARIABLE,Xmeas11Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(12) to process proxies aligned with XMEAS_11; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault12SeparatorCoolingInletTemperature,AFFECTS_VARIABLE,Xmeas12Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(12) to process proxies aligned with XMEAS_12; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault12SeparatorCoolingInletTemperature,AFFECTS_VARIABLE,Xmeas13Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(12) to process proxies aligned with XMEAS_13; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault12SeparatorCoolingInletTemperature,AFFECTS_VARIABLE,Xmeas22Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(12) to process proxies aligned with XMEAS_22; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault12SeparatorCoolingInletTemperature,AFFECTS_VARIABLE,Xmv11Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(12) to process proxies aligned with XMV_11; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault13ReactorKinetics,AFFECTS_VARIABLE,Xmeas21Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(13) to process proxies aligned with XMEAS_21; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault13ReactorKinetics,AFFECTS_VARIABLE,Xmeas6Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(13) to process proxies aligned with XMEAS_6; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault13ReactorKinetics,AFFECTS_VARIABLE,Xmeas7Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(13) to process proxies aligned with XMEAS_7; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault13ReactorKinetics,AFFECTS_VARIABLE,Xmeas8Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(13) to process proxies aligned with XMEAS_8; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault13ReactorKinetics,AFFECTS_VARIABLE,Xmeas9Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(13) to process proxies aligned with XMEAS_9; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault14ReactorCoolantValveStiction,AFFECTS_VARIABLE,Xmeas21Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(14) to process proxies aligned with XMEAS_21; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault14ReactorCoolantValveStiction,AFFECTS_VARIABLE,Xmeas7Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(14) to process proxies aligned with XMEAS_7; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault14ReactorCoolantValveStiction,AFFECTS_VARIABLE,Xmeas8Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(14) to process proxies aligned with XMEAS_8; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault14ReactorCoolantValveStiction,AFFECTS_VARIABLE,Xmeas9Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(14) to process proxies aligned with XMEAS_9; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault14ReactorCoolantValveStiction,AFFECTS_VARIABLE,Xmv10Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(14) to process proxies aligned with XMV_10; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault15SeparatorCoolantValveStiction,AFFECTS_VARIABLE,Xmeas11Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(15) to process proxies aligned with XMEAS_11; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault15SeparatorCoolantValveStiction,AFFECTS_VARIABLE,Xmeas12Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(15) to process proxies aligned with XMEAS_12; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault15SeparatorCoolantValveStiction,AFFECTS_VARIABLE,Xmeas13Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(15) to process proxies aligned with XMEAS_13; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault15SeparatorCoolantValveStiction,AFFECTS_VARIABLE,Xmeas22Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(15) to process proxies aligned with XMEAS_22; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault15SeparatorCoolantValveStiction,AFFECTS_VARIABLE,Xmv11Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(15) to process proxies aligned with XMV_11; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault16StripperHeatTransfer,AFFECTS_VARIABLE,Xmeas15Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(16) to process proxies aligned with XMEAS_15; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault16StripperHeatTransfer,AFFECTS_VARIABLE,Xmeas16Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(16) to process proxies aligned with XMEAS_16; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault16StripperHeatTransfer,AFFECTS_VARIABLE,Xmeas17Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(16) to process proxies aligned with XMEAS_17; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault16StripperHeatTransfer,AFFECTS_VARIABLE,Xmeas18Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(16) to process proxies aligned with XMEAS_18; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault16StripperHeatTransfer,AFFECTS_VARIABLE,Xmeas19Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(16) to process proxies aligned with XMEAS_19; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault16StripperHeatTransfer,AFFECTS_VARIABLE,Xmv8Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(16) to process proxies aligned with XMV_8; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault16StripperHeatTransfer,AFFECTS_VARIABLE,Xmv9Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(16) to process proxies aligned with XMV_9; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault17ReactorHeatTransfer,AFFECTS_VARIABLE,Xmeas21Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(17) to process proxies aligned with XMEAS_21; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault17ReactorHeatTransfer,AFFECTS_VARIABLE,Xmeas7Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(17) to process proxies aligned with XMEAS_7; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault17ReactorHeatTransfer,AFFECTS_VARIABLE,Xmeas8Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(17) to process proxies aligned with XMEAS_8; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault17ReactorHeatTransfer,AFFECTS_VARIABLE,Xmeas9Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(17) to process proxies aligned with XMEAS_9; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault17ReactorHeatTransfer,AFFECTS_VARIABLE,Xmv10Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(17) to process proxies aligned with XMV_10; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault18CondenserHeatTransfer,AFFECTS_VARIABLE,Xmeas11Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(18) to process proxies aligned with XMEAS_11; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault18CondenserHeatTransfer,AFFECTS_VARIABLE,Xmeas12Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(18) to process proxies aligned with XMEAS_12; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault18CondenserHeatTransfer,AFFECTS_VARIABLE,Xmeas13Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(18) to process proxies aligned with XMEAS_13; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault18CondenserHeatTransfer,AFFECTS_VARIABLE,Xmeas22Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(18) to process proxies aligned with XMEAS_22; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault18CondenserHeatTransfer,AFFECTS_VARIABLE,Xmv11Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(18) to process proxies aligned with XMV_11; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault19MultiValveStiction,AFFECTS_VARIABLE,Xmeas14Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(19) to process proxies aligned with XMEAS_14; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault19MultiValveStiction,AFFECTS_VARIABLE,Xmeas15Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(19) to process proxies aligned with XMEAS_15; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault19MultiValveStiction,AFFECTS_VARIABLE,Xmeas17Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(19) to process proxies aligned with XMEAS_17; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault19MultiValveStiction,AFFECTS_VARIABLE,Xmeas19Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(19) to process proxies aligned with XMEAS_19; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault19MultiValveStiction,AFFECTS_VARIABLE,Xmeas5Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(19) to process proxies aligned with XMEAS_5; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault19MultiValveStiction,AFFECTS_VARIABLE,Xmv5Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(19) to process proxies aligned with XMV_5; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault19MultiValveStiction,AFFECTS_VARIABLE,Xmv7Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(19) to process proxies aligned with XMV_7; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault19MultiValveStiction,AFFECTS_VARIABLE,Xmv8Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(19) to process proxies aligned with XMV_8; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault19MultiValveStiction,AFFECTS_VARIABLE,Xmv9Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(19) to process proxies aligned with XMV_9; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
TepProcessObject,HAS_ANOMALY,Fault01Stream4ACRatio,tep,tep_kg_fault_labels_v3,TEP_KG fault_root_cause_labels_v3 lists IDV(1) as a canonical scorable TEP disturbance; KGTraceVis keeps it as a reviewable fault candidate.,0.88,0.12,auto,0,0,0
