id,name,label,scenario,aliases,description
Xmeas29Variable,XMEAS 29: Purge component A,Variable,tep,XMEAS_29|XMEAS 29|xmeas_29|xmeas29|variable:xmeas_29,TEP measured variable channel from TEP_KG variable mapping
Xmeas2Variable,XMEAS 2: D feed flow,Variable,tep,XMEAS_2|XMEAS 2|xmeas_2|xmeas2|variable:xmeas_2|plant output 2,TEP measured variable channel from TEP_KG variable mapping
Xmeas30Variable,XMEAS 30: Purge component B,Variable,tep,XMEAS_30|XMEAS 30|xmeas_30|xmeas30|variable:xmeas_30,TEP measured variable channel from TEP_KG variable mapping
Xmeas31Variable,XMEAS 31: Purge component C,Variable,tep,XMEAS_31|XMEAS 31|xmeas_31|xmeas31|variable:xmeas_31,TEP measured variable channel from TEP_KG variable mapping
Xmeas32Variable,XMEAS 32: Purge component D,Variable,tep,XMEAS_32|XMEAS 32|xmeas_32|xmeas32|variable:xmeas_32,TEP measured variable channel from TEP_KG variable mapping
Xmeas33Variable,XMEAS 33: Purge component E,Variable,tep,XMEAS_33|XMEAS 33|xmeas_33|xmeas33|variable:xmeas_33,TEP measured variable channel from TEP_KG variable mapping
Xmeas34Variable,XMEAS 34: Purge component F,Variable,tep,XMEAS_34|XMEAS 34|xmeas_34|xmeas34|variable:xmeas_34,TEP measured variable channel from TEP_KG variable mapping
Xmeas35Variable,XMEAS 35: Purge component G,Variable,tep,XMEAS_35|XMEAS 35|xmeas_35|xmeas35|variable:xmeas_35,TEP measured variable channel from TEP_KG variable mapping
Xmeas36Variable,XMEAS 36: Purge component H,Variable,tep,XMEAS_36|XMEAS 36|xmeas_36|xmeas36|variable:xmeas_36,TEP measured variable channel from TEP_KG variable mapping
Xmeas37Variable,XMEAS 37: Product component D,Variable,tep,XMEAS_37|XMEAS 37|xmeas_37|xmeas37|variable:xmeas_37,TEP measured variable channel from TEP_KG variable mapping
Xmeas38Variable,XMEAS 38: Product component E,Variable,tep,XMEAS_38|XMEAS 38|xmeas_38|xmeas38|variable:xmeas_38,TEP measured variable channel from TEP_KG variable mapping
Xmeas39Variable,XMEAS 39: Product component F,Variable,tep,XMEAS_39|XMEAS 39|xmeas_39|xmeas39|variable:xmeas_39,TEP measured variable channel from TEP_KG variable mapping
Xmeas3Variable,XMEAS 3: E feed flow,Variable,tep,XMEAS_3|XMEAS 3|xmeas_3|xmeas3|variable:xmeas_3|plant output 3,TEP measured variable channel from TEP_KG variable mapping
Xmeas40Variable,XMEAS 40: Product component G,Variable,tep,XMEAS_40|XMEAS 40|xmeas_40|xmeas40|variable:xmeas_40,TEP measured variable channel from TEP_KG variable mapping
Xmeas41Variable,XMEAS 41: Product component H,Variable,tep,XMEAS_41|XMEAS 41|xmeas_41|xmeas41|variable:xmeas_41,TEP measured variable channel from TEP_KG variable mapping
Xmeas4Variable,XMEAS 4: A and C feed flow,Variable,tep,XMEAS_4|XMEAS 4|xmeas_4|xmeas4|variable:xmeas_4|plant output 4,TEP measured variable channel from TEP_KG variable mapping
Xmeas5Variable,XMEAS 5: Recycle flow,Variable,tep,XMEAS_5|XMEAS 5|xmeas_5|xmeas5|variable:xmeas_5|plant output 5,TEP measured variable channel from TEP_KG variable mapping
Xmeas6Variable,XMEAS 6: Reactor feed rate,Variable,tep,XMEAS_6|XMEAS 6|xmeas_6|xmeas6|variable:xmeas_6|plant output 6,TEP measured variable channel from TEP_KG variable mapping
Xmeas7Variable,XMEAS 7: Reactor pressure,Variable,tep,XMEAS_7|XMEAS 7|xmeas_7|xmeas7|variable:xmeas_7|plant output 7,TEP measured variable channel from TEP_KG variable mapping
Xmeas8Variable,XMEAS 8: Reactor level,Variable,tep,XMEAS_8|XMEAS 8|xmeas_8|xmeas8|variable:xmeas_8|plant output 8,TEP measured variable channel from TEP_KG variable mapping
Xmeas9Variable,XMEAS 9: Reactor temperature,Variable,tep,XMEAS_9|XMEAS 9|xmeas_9|xmeas9|variable:xmeas_9|plant output 9,TEP measured variable channel from TEP_KG variable mapping
Xmv10Variable,XMV 10: Reactor coolant valve,Variable,tep,XMV_10|XMV 10|xmv_10|xmv10|variable:manipulated_variable_10,TEP manipulated variable channel from TEP_KG variable mapping
Xmv11Variable,XMV 11: Condenser coolant valve,Variable,tep,XMV_11|XMV 11|xmv_11|xmv11|variable:manipulated_variable_11,TEP manipulated variable channel from TEP_KG variable mapping
Xmv1Variable,XMV 1: D feed valve,Variable,tep,XMV_1|XMV 1|xmv_1|xmv1|variable:manipulated_variable_1,TEP manipulated variable channel from TEP_KG variable mapping
Xmv2Variable,XMV 2: E feed valve,Variable,tep,XMV_2|XMV 2|xmv_2|xmv2|variable:manipulated_variable_2,TEP manipulated variable channel from TEP_KG variable mapping
Xmv3Variable,XMV 3: A feed valve,Variable,tep,XMV_3|XMV 3|xmv_3|xmv3|variable:manipulated_variable_3,TEP manipulated variable channel from TEP_KG variable mapping
Xmv4Variable,XMV 4: A and C feed valve,Variable,tep,XMV_4|XMV 4|xmv_4|xmv4|variable:manipulated_variable_4,TEP manipulated variable channel from TEP_KG variable mapping
Xmv5Variable,XMV 5: Recycle valve,Variable,tep,XMV_5|XMV 5|xmv_5|xmv5|variable:manipulated_variable_5,TEP manipulated variable channel from TEP_KG variable mapping
Xmv6Variable,XMV 6: Purge valve,Variable,tep,XMV_6|XMV 6|xmv_6|xmv6|variable:manipulated_variable_6,TEP manipulated variable channel from TEP_KG variable mapping
Xmv7Variable,XMV 7: Separator underflow valve,Variable,tep,XMV_7|XMV 7|xmv_7|xmv7|variable:manipulated_variable_7,TEP manipulated variable channel from TEP_KG variable mapping
Xmv8Variable,XMV 8: Stripper underflow valve,Variable,tep,XMV_8|XMV 8|xmv_8|xmv8|variable:manipulated_variable_8,TEP manipulated variable channel from TEP_KG variable mapping
Xmv9Variable,XMV 9: Stripper steam valve,Variable,tep,XMV_9|XMV 9|xmv_9|xmv9|variable:manipulated_variable_9,TEP manipulated variable channel from TEP_KG variable mapping
