id,name,label,scenario,aliases,description
PillCoatingOrHandling,Pill coating or handling,RootCause,mvtec,pill coating issue|pill handling damage,"Object-specific candidate for pill contamination, color, crack, or scratch evidence"
PokeDefect,Poke defect,AnomalyType,mvtec,poke|poke defect,MVTec source-label visual defect covered by candidate KG generation
PokeInsulationDefect,Poke insulation defect,AnomalyType,mvtec,poke_insulation|poke insulation|poke insulation defect|poke|insulation,MVTec source-label visual defect covered by candidate KG generation
PrintDefect,Print defect,AnomalyType,mvtec,print|print defect,MVTec source-label visual defect covered by candidate KG generation
RoughDefect,Rough defect,AnomalyType,mvtec,rough|rough defect,MVTec source-label visual defect covered by candidate KG generation
ScatteredMorphology,Scattered morphology,Morphology,mvtec,scattered|diffuse,Visual morphology
ScratchHeadDefect,Scratch head defect,AnomalyType,mvtec,scratch_head|scratch head|scratch head defect|scratch|head,MVTec source-label visual defect covered by candidate KG generation
ScratchNeckDefect,Scratch neck defect,AnomalyType,mvtec,scratch_neck|scratch neck|scratch neck defect|scratch|neck,MVTec source-label visual defect covered by candidate KG generation
ScrewThreadOrHeadDamage,Screw thread or head damage,RootCause,mvtec,screw thread damage|screw head damage,"Object-specific candidate for screw thread, neck, or head evidence"
SplitTeethDefect,Split teeth defect,AnomalyType,mvtec,split_teeth|split teeth|split teeth defect|split|teeth,MVTec source-label visual defect covered by candidate KG generation
SpotMorphology,Spot morphology,Morphology,mvtec,spot|localized spot,Visual morphology
SqueezedTeethDefect,Squeezed teeth defect,AnomalyType,mvtec,squeezed_teeth|squeezed teeth|squeezed teeth defect|squeezed|teeth,MVTec source-label visual defect covered by candidate KG generation
TextureIrregularity,Texture irregularity,RootCause,mvtec,texture irregularity|thread irregularity,Low-confidence candidate for texture/thread-like visual irregularities
TextureSurfaceContamination,Texture surface contamination,RootCause,mvtec,texture surface contamination|surface residue,"Object-specific candidate for texture surface color, glue, oil, or contamination evidence"
ThreadDefect,Thread defect,AnomalyType,mvtec,thread|thread defect,MVTec source-label visual defect covered by candidate KG generation
ThreadSideDefect,Thread side defect,AnomalyType,mvtec,thread_side|thread side|thread side defect|thread|side,MVTec source-label visual defect covered by candidate KG generation
ThreadTopDefect,Thread top defect,AnomalyType,mvtec,thread_top|thread top|thread top defect|thread,MVTec source-label visual defect covered by candidate KG generation
TileObject,Tile,Object,mvtec,tile|tile,MVTec object covered by candidate KG generation
ToothbrushObject,Toothbrush,Object,mvtec,toothbrush|toothbrush,MVTec object covered by candidate KG generation
TransistorLeadAssembly,Transistor lead assembly,RootCause,mvtec,transistor lead assembly|transistor placement issue,"Object-specific candidate for bent, cut, misplaced, or damaged transistor parts"
TransistorObject,Transistor,Object,mvtec,transistor|transistor,MVTec object covered by candidate KG generation
VisualInspectionReviewNeeded,Visual inspection review needed,CauseCategory,mvtec,review needed|visual review,Review bucket for weak or ambiguous visual anomaly evidence
WoodObject,Wood,Object,mvtec,wood|wood,MVTec object covered by candidate KG generation
ZipperObject,Zipper,Object,mvtec,zipper|zipper,MVTec object covered by candidate KG generation
ZipperTeethAssembly,Zipper teeth assembly,RootCause,mvtec,zipper teeth assembly|zipper teeth defect,"Object-specific candidate for broken, split, or squeezed zipper teeth evidence"
