edge_id,scenario,layer,head,relation,tail,source,confidence,review_status,review_priority,suggested_action,evidence,claim_boundary
LinearScratchSignature|SUGGESTS_PLAUSIBLE_MECHANISM|WaferTransferMisalignment|wafer,wafer,candidate_mechanism,LinearScratchSignature,SUGGESTS_PLAUSIBLE_MECHANISM,WaferTransferMisalignment,wafer_factory_sop_private_summary,0.48,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary supports Wafer transfer misalignment as a low-confidence investigation target for the scratch pattern and Linear scratch signature; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
LocDefect|HAS_MORPHOLOGY|WaferClusteredMorphology|wafer,wafer,semantic_constraint,LocDefect,HAS_MORPHOLOGY,WaferClusteredMorphology,wm811k_pattern_semantics,0.82,auto,low,bulk-approve if source registry is accepted,WM811K loc pattern is represented with Wafer clustered morphology.,candidate/plausible explanation only; not a verified root-cause label
LocDefect|HAS_PLAUSIBLE_CAUSE|ProcessNonuniformity|wafer,wafer,candidate_mechanism,LocDefect,HAS_PLAUSIBLE_CAUSE,ProcessNonuniformity,wm811k_low_confidence_investigation_rule,0.55,auto,high,review before paper emphasis or keep as low-confidence candidate,"WM811K loc pattern maps to Process nonuniformity as a low-confidence candidate investigation path, not verified process RCA.",candidate/plausible explanation only; not a verified root-cause label
LocDefect|HAS_SPATIAL_SIGNATURE|LocalClusterSignature|wafer,wafer,semantic_constraint,LocDefect,HAS_SPATIAL_SIGNATURE,LocalClusterSignature,wm811k_pattern_semantics,0.84,auto,low,bulk-approve if source registry is accepted,WM811K loc pattern maps to the Local cluster signature descriptor; this is observed spatial evidence.,candidate/plausible explanation only; not a verified root-cause label
LocDefect|OCCURS_ON|WaferLocalLocation|wafer,wafer,semantic_constraint,LocDefect,OCCURS_ON,WaferLocalLocation,wm811k_pattern_semantics,0.8,auto,low,bulk-approve if source registry is accepted,WM811K loc pattern is represented at Wafer local region.,candidate/plausible explanation only; not a verified root-cause label
LocalClusterSignature|SUGGESTS_PLAUSIBLE_MECHANISM|ProcessNonuniformity|wafer,wafer,candidate_mechanism,LocalClusterSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ProcessNonuniformity,wm811k_low_confidence_investigation_rule,0.54,auto,high,review before paper emphasis or keep as low-confidence candidate,WM811K Local cluster signature maps to Process nonuniformity as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
NearFullDenseSignature|SUGGESTS_PLAUSIBLE_MECHANISM|MegasonicRinseInsufficient|wafer,wafer,candidate_mechanism,NearFullDenseSignature,SUGGESTS_PLAUSIBLE_MECHANISM,MegasonicRinseInsufficient,wafer_factory_sop_private_summary,0.48,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary supports Megasonic rinse insufficient as a low-confidence investigation target for the nearfull pattern and Near-full dense signature; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
NearFullDenseSignature|SUGGESTS_PLAUSIBLE_MECHANISM|ParticleContamination|wafer,wafer,candidate_mechanism,NearFullDenseSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ParticleContamination,wm811k_low_confidence_investigation_rule,0.54,auto,high,review before paper emphasis or keep as low-confidence candidate,WM811K Near-full dense signature maps to Particle contamination as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
NearFullDenseSignature|SUGGESTS_PLAUSIBLE_MECHANISM|RecipeStepSkip|wafer,wafer,candidate_mechanism,NearFullDenseSignature,SUGGESTS_PLAUSIBLE_MECHANISM,RecipeStepSkip,wafer_factory_sop_private_summary,0.48,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary supports Recipe step skip as a low-confidence investigation target for the nearfull pattern and Near-full dense signature; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
NearFullDenseSignature|SUGGESTS_PLAUSIBLE_MECHANISM|RinseFlowInsufficient|wafer,wafer,candidate_mechanism,NearFullDenseSignature,SUGGESTS_PLAUSIBLE_MECHANISM,RinseFlowInsufficient,wafer_factory_sop_private_summary,0.48,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary supports Rinse flow insufficient as a low-confidence investigation target for the nearfull pattern and Near-full dense signature; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
NearFullDenseSignature|SUGGESTS_PLAUSIBLE_MECHANISM|WaterQualityExcursion|wafer,wafer,candidate_mechanism,NearFullDenseSignature,SUGGESTS_PLAUSIBLE_MECHANISM,WaterQualityExcursion,wafer_factory_sop_private_summary,0.48,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary supports Water quality excursion as a low-confidence investigation target for the nearfull pattern and Near-full dense signature; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
NearFullDenseSignature|SUGGESTS_PLAUSIBLE_MECHANISM|WetCleanResidue|wafer,wafer,candidate_mechanism,NearFullDenseSignature,SUGGESTS_PLAUSIBLE_MECHANISM,WetCleanResidue,wafer_factory_sop_private_summary,0.48,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary supports Wet clean residue as a low-confidence investigation target for the nearfull pattern and Near-full dense signature; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
NearfullDefect|HAS_PLAUSIBLE_CAUSE|MegasonicRinseInsufficient|wafer,wafer,candidate_mechanism,NearfullDefect,HAS_PLAUSIBLE_CAUSE,MegasonicRinseInsufficient,wafer_factory_sop_private_summary,0.48,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary snippet: 未开启兆声水会导致nearfull缺陷. WM811K nearfull may use Megasonic rinse insufficient as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
NearfullDefect|HAS_PLAUSIBLE_CAUSE|ParticleContamination|wafer,wafer,candidate_mechanism,NearfullDefect,HAS_PLAUSIBLE_CAUSE,ParticleContamination,wm811k_low_confidence_investigation_rule,0.6,auto,high,review before paper emphasis or keep as low-confidence candidate,"WM811K nearfull pattern maps to Particle contamination as a low-confidence candidate investigation path, not verified process RCA.",candidate/plausible explanation only; not a verified root-cause label
NearfullDefect|HAS_PLAUSIBLE_CAUSE|RecipeStepSkip|wafer,wafer,candidate_mechanism,NearfullDefect,HAS_PLAUSIBLE_CAUSE,RecipeStepSkip,wafer_factory_sop_private_summary,0.44,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary snippet: 跳步操作会导致near full缺陷. WM811K nearfull may use Recipe step skip as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
NearfullDefect|HAS_PLAUSIBLE_CAUSE|RinseFlowInsufficient|wafer,wafer,candidate_mechanism,NearfullDefect,HAS_PLAUSIBLE_CAUSE,RinseFlowInsufficient,wafer_factory_sop_private_summary,0.49,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary snippet: 未开启纯水会导致nearfull缺陷. WM811K nearfull may use Rinse flow insufficient as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
NearfullDefect|HAS_PLAUSIBLE_CAUSE|WaterQualityExcursion|wafer,wafer,candidate_mechanism,NearfullDefect,HAS_PLAUSIBLE_CAUSE,WaterQualityExcursion,wafer_factory_sop_private_summary,0.46,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary snippet: 水阻率异常导致晶圆near full缺陷. WM811K nearfull may use Water quality excursion as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
NearfullDefect|HAS_PLAUSIBLE_CAUSE|WetCleanResidue|wafer,wafer,candidate_mechanism,NearfullDefect,HAS_PLAUSIBLE_CAUSE,WetCleanResidue,wafer_factory_sop_private_summary,0.52,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary snippet: 晶圆表面残留物过多，形成near full缺陷. WM811K nearfull may use Wet clean residue as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
NearfullDefect|HAS_SPATIAL_SIGNATURE|NearFullDenseSignature|wafer,wafer,semantic_constraint,NearfullDefect,HAS_SPATIAL_SIGNATURE,NearFullDenseSignature,wm811k_pattern_semantics,0.84,auto,low,bulk-approve if source registry is accepted,WM811K nearfull pattern maps to the Near-full dense signature descriptor; this is observed spatial evidence.,candidate/plausible explanation only; not a verified root-cause label
RandomDefect|HAS_MORPHOLOGY|WaferScatteredMorphology|wafer,wafer,semantic_constraint,RandomDefect,HAS_MORPHOLOGY,WaferScatteredMorphology,wm811k_pattern_semantics,0.82,auto,low,bulk-approve if source registry is accepted,WM811K random pattern is represented with Wafer scattered morphology.,candidate/plausible explanation only; not a verified root-cause label
RandomDefect|HAS_PLAUSIBLE_CAUSE|ChamberContamination|wafer,wafer,candidate_mechanism,RandomDefect,HAS_PLAUSIBLE_CAUSE,ChamberContamination,wafer_factory_sop_private_summary,0.44,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary snippet: 腔门未正常关闭会导致腔内污染. WM811K random may use Chamber contamination as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
RandomDefect|HAS_PLAUSIBLE_CAUSE|ParticleContamination|wafer,wafer,candidate_mechanism,RandomDefect,HAS_PLAUSIBLE_CAUSE,ParticleContamination,wm811k_low_confidence_investigation_rule,0.55,auto,high,review before paper emphasis or keep as low-confidence candidate,"WM811K random pattern maps to Particle contamination as a low-confidence candidate investigation path, not verified process RCA.",candidate/plausible explanation only; not a verified root-cause label
RandomDefect|HAS_PLAUSIBLE_CAUSE|ProcessNonuniformity|wafer,wafer,candidate_mechanism,RandomDefect,HAS_PLAUSIBLE_CAUSE,ProcessNonuniformity,wm811k_low_confidence_investigation_rule,0.55,auto,high,review before paper emphasis or keep as low-confidence candidate,"WM811K random pattern maps to Process nonuniformity as a low-confidence candidate investigation path, not verified process RCA.",candidate/plausible explanation only; not a verified root-cause label
RandomDefect|HAS_SPATIAL_SIGNATURE|RandomScatteredSignature|wafer,wafer,semantic_constraint,RandomDefect,HAS_SPATIAL_SIGNATURE,RandomScatteredSignature,wm811k_pattern_semantics,0.84,auto,low,bulk-approve if source registry is accepted,WM811K random pattern maps to the Random scattered signature descriptor; this is observed spatial evidence.,candidate/plausible explanation only; not a verified root-cause label
RandomDefect|OCCURS_ON|WaferSurface|wafer,wafer,semantic_constraint,RandomDefect,OCCURS_ON,WaferSurface,wm811k_pattern_semantics,0.8,auto,low,bulk-approve if source registry is accepted,WM811K random pattern is represented at Wafer surface.,candidate/plausible explanation only; not a verified root-cause label
RandomScatteredSignature|SUGGESTS_PLAUSIBLE_MECHANISM|ChamberContamination|wafer,wafer,candidate_mechanism,RandomScatteredSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ChamberContamination,wafer_factory_sop_private_summary,0.48,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary supports Chamber contamination as a low-confidence investigation target for the random pattern and Random scattered signature; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
RandomScatteredSignature|SUGGESTS_PLAUSIBLE_MECHANISM|ParticleContamination|wafer,wafer,candidate_mechanism,RandomScatteredSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ParticleContamination,wm811k_low_confidence_investigation_rule,0.54,auto,high,review before paper emphasis or keep as low-confidence candidate,WM811K Random scattered signature maps to Particle contamination as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
RandomScatteredSignature|SUGGESTS_PLAUSIBLE_MECHANISM|ProcessNonuniformity|wafer,wafer,candidate_mechanism,RandomScatteredSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ProcessNonuniformity,wm811k_low_confidence_investigation_rule,0.54,auto,high,review before paper emphasis or keep as low-confidence candidate,WM811K Random scattered signature maps to Process nonuniformity as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
